Age,Gender,Education,Income,Employment Experience,Home Ownership,Loan Amount,Loan Intent,Loan Interest Rate,Loan Percent Income,Credit History Length,Credit Score,Previous Loan Defaults,Loan_Status
27,0,0,50395,6,3,7100,3,7.88,0.14,10,611,1,0
24,1,1,95940,0,3,8000,3,11.49,0.08,2,642,0,0
25,0,1,89794,6,3,25000,3,12.96,0.28,4,679,0,1
28,0,0,242022,4,2,12000,5,11.01,0.05,8,688,0,0
28,0,0,49018,4,0,19200,0,9.91,0.39,6,630,1,0
27,1,0,55640,7,0,15350,5,8.9,0.28,10,580,1,0
31,0,3,80335,12,0,10000,4,11.01,0.12,5,642,1,0
25,0,0,44357,1,3,15000,4,11.01,0.34,3,582,0,1
24,0,3,64902,0,0,21000,5,10.65,0.32,4,681,1,0
31,1,0,32048,9,3,1250,5,11.49,0.04,10,656,1,0
22,0,0,64421,0,2,2250,5,10.62,0.03,3,599,1,0
24,1,3,41663,0,3,10000,2,12.69,0.24,2,662,0,1
22,0,4,22502,3,3,3600,4,11.01,0.16,2,674,0,1
28,0,3,42206,1,0,6125,3,16.89,0.15,10,651,0,1
23,1,0,44258,0,3,4800,4,11.11,0.11,3,636,0,0
22,1,0,55906,1,3,6200,0,11.01,0.11,3,625,0,1
22,0,4,88307,1,0,6000,2,13.49,0.07,2,622,0,1
27,1,1,145229,4,0,7000,4,7.49,0.05,9,620,1,0
23,1,4,73821,0,0,18007,3,13.81,0.24,3,699,1,0
27,0,4,60208,5,0,5000,2,11.83,0.08,10,666,0,0
28,0,4,59091,7,3,15000,3,12.99,0.25,7,593,0,1
25,0,1,88619,0,0,9000,0,11.86,0.1,4,651,0,0
28,0,4,110239,6,2,7000,5,6.99,0.06,6,639,0,0
28,1,3,230430,6,0,9000,3,16.95,0.04,6,618,0,1
29,1,4,35403,8,3,4500,4,7.88,0.13,5,682,0,0
25,0,4,70666,0,0,8500,3,7.14,0.12,3,670,1,0
38,1,4,127266,13,0,15000,2,8.31,0.12,14,714,0,0
28,1,0,46065,5,3,12293,1,15.46,0.27,5,645,0,1
35,1,3,213281,10,0,11434,0,15.64,0.05,7,581,0,1
42,1,3,27556,18,3,9000,4,7.66,0.33,11,712,0,1
25,1,1,102993,0,0,7500,5,12.37,0.07,4,538,1,0
23,1,0,55137,0,0,7200,3,11.86,0.13,2,616,1,0
22,0,1,60771,0,0,10500,5,14.26,0.17,2,676,1,0
28,1,1,43432,7,0,11850,0,6.54,0.27,6,688,1,0
29,1,1,24087,5,3,8120,4,8.06,0.34,9,549,0,1
23,0,0,44005,0,0,1000,3,10.81,0.02,3,603,1,0
30,1,1,141835,7,3,12324,0,18.15,0.09,9,637,0,1
23,1,1,43040,4,3,1800,1,10.59,0.04,3,671,1,0
22,1,3,18292,1,3,4000,0,10.91,0.22,2,583,0,1
26,1,1,83814,6,0,16000,5,15.7,0.19,4,677,0,0
23,1,1,58454,0,3,4000,4,10.37,0.07,3,635,0,1
21,1,3,32379,1,0,14500,3,14.61,0.45,2,499,0,1
26,1,0,130619,2,3,25000,0,14.32,0.19,5,581,0,1
37,1,3,47293,12,3,23500,1,11.01,0.5,16,509,0,1
25,0,1,65376,3,3,12000,2,16.77,0.18,2,603,0,1
25,0,4,55779,3,3,12000,3,13.23,0.22,4,645,1,0
32,0,1,148522,10,0,15200,5,15.95,0.1,9,557,1,0
26,0,1,138836,4,0,20000,1,13.16,0.14,2,534,1,0
24,0,1,123548,0,0,7200,3,11.01,0.06,3,670,1,0
32,1,0,19834,12,3,5000,2,5.42,0.25,5,586,0,1
27,1,1,56578,3,0,4000,4,12.53,0.07,9,625,0,1
24,0,1,37286,2,3,2154,2,13.42,0.06,3,616,0,1
22,1,3,70069,0,3,9100,0,11.49,0.13,4,642,1,0
31,1,0,40397,7,0,3000,5,11.01,0.07,5,570,1,0
24,1,1,28847,3,3,9500,0,19.04,0.33,4,658,0,1
48,1,4,50732,26,3,5000,3,7.29,0.1,14,669,0,0
24,1,1,68154,2,3,21250,5,15.95,0.31,3,672,0,1
24,1,0,72766,0,2,5000,1,5.79,0.07,3,624,1,0
23,0,0,83747,1,0,15000,2,14.96,0.18,2,606,0,1
25,0,4,25942,4,3,4500,1,16.45,0.17,4,625,0,1
23,1,3,45574,2,3,10000,0,9.79,0.22,3,676,1,0
31,0,0,87414,10,3,21000,4,11.99,0.24,6,617,0,1
22,1,3,26812,0,3,2000,0,16.89,0.07,2,647,0,1
25,1,1,104225,4,0,24000,0,11.01,0.23,2,527,0,1
23,0,3,106467,1,0,10000,1,7.51,0.09,2,645,1,0
27,1,3,15219,7,3,5701,0,9.7,0.37,8,558,0,1
29,0,0,89634,6,3,31119,2,11.3,0.35,7,593,0,1
40,0,3,56039,22,0,7000,2,6.62,0.12,17,660,1,0
29,0,4,179221,7,3,29550,1,8.9,0.16,9,699,0,0
36,0,0,157052,16,3,20000,1,11.0,0.13,14,604,0,0
32,0,3,54919,8,0,2100,0,6.99,0.04,10,588,0,0
31,1,0,43073,9,3,11717,3,12.89,0.27,9,633,0,1
43,0,0,56022,18,3,5000,1,10.38,0.09,14,684,0,1
31,1,1,179706,10,0,28338,0,16.72,0.16,8,684,0,1
21,1,0,27793,0,3,5325,4,12.42,0.19,3,672,0,1
34,1,1,37887,13,3,10000,0,10.37,0.26,10,704,0,1
26,1,3,77950,7,3,1000,0,10.75,0.01,2,603,1,0
25,1,0,49038,0,3,16000,1,11.71,0.33,4,678,0,1
32,0,3,49208,10,2,7000,5,12.68,0.14,10,614,0,0
24,1,3,52839,6,3,10000,3,13.62,0.19,3,678,0,1
32,0,1,74140,7,3,17000,0,11.49,0.23,5,702,1,0
23,0,0,71158,0,0,5000,3,8.59,0.07,4,689,0,1
24,0,0,115238,1,3,12000,0,11.37,0.1,4,570,1,0
23,0,4,47451,2,3,1200,0,15.95,0.03,2,666,0,1
32,0,1,124941,12,0,33000,4,18.64,0.26,6,712,0,1
24,1,4,36543,3,3,3350,0,14.72,0.09,2,681,1,0
24,1,3,116332,0,0,11000,2,5.99,0.09,2,636,1,0
28,0,1,47912,6,3,5000,0,5.99,0.1,7,653,0,1
31,0,3,42976,9,3,8000,1,11.11,0.19,10,606,0,0
27,0,1,54246,3,3,3398,1,11.37,0.06,7,655,1,0
25,1,3,81803,1,3,12000,2,13.49,0.15,4,659,1,0
29,0,1,166630,9,0,24000,4,16.35,0.14,6,700,0,1
25,1,0,53098,3,3,4500,3,6.76,0.08,2,628,0,0
34,1,3,60700,12,3,10000,4,9.97,0.16,7,654,1,0
21,1,4,29730,0,3,9600,2,14.27,0.32,4,671,0,1
28,0,3,58729,7,3,7000,3,11.36,0.12,9,636,1,0
25,1,0,86673,0,0,25000,1,14.96,0.29,3,645,1,0
38,1,1,67177,16,3,6500,1,11.03,0.1,12,618,1,0
23,0,1,73201,0,0,5600,0,14.22,0.08,4,642,0,1
23,1,0,42863,0,0,2100,1,5.42,0.05,3,577,1,0
24,1,1,13030,1,3,1000,4,13.92,0.08,6,622,0,1
24,1,3,68183,1,2,2000,3,9.74,0.03,4,626,1,0
30,1,0,19783,10,0,6250,0,5.79,0.32,6,621,0,1
25,1,3,31480,1,3,2000,5,9.91,0.06,4,584,0,0
37,1,4,79033,11,3,12000,1,13.98,0.15,15,642,1,0
25,1,3,65711,4,3,14000,0,14.59,0.21,4,673,0,1
32,1,1,59983,7,3,3500,2,10.65,0.06,6,650,0,1
23,0,3,73044,0,3,22000,0,10.25,0.3,4,640,0,1
25,1,0,88620,5,0,2820,3,12.22,0.03,6,657,0,0
23,1,0,53910,0,3,12000,5,16.0,0.22,2,621,0,1
37,0,2,55175,13,3,8000,1,9.63,0.14,17,741,0,0
28,1,0,81455,6,3,5000,3,12.22,0.06,9,644,1,0
28,0,1,108760,5,0,4000,0,8.0,0.04,6,665,1,0
26,1,4,157292,0,3,25000,4,10.75,0.16,3,677,1,0
26,0,3,147568,4,0,6000,4,7.51,0.04,2,508,1,0
22,1,3,71281,1,0,25000,3,14.96,0.35,2,648,0,1
27,1,1,144509,7,0,16000,0,11.96,0.11,8,686,0,0
43,0,3,44969,18,3,18000,4,11.71,0.4,16,611,0,1
24,1,1,36702,0,3,3000,0,19.29,0.08,2,659,0,1
24,1,3,91142,3,0,7500,1,11.25,0.08,4,610,0,0
22,1,0,80217,2,0,8500,0,7.51,0.11,2,607,1,0
22,0,1,48610,1,0,14125,1,12.42,0.29,4,618,0,1
23,0,3,131204,0,3,35000,2,20.0,0.27,2,624,0,1
25,0,0,39679,2,3,10000,5,16.77,0.25,4,672,0,1
22,0,4,45090,0,3,14000,4,6.92,0.31,2,670,0,1
29,0,0,39298,8,3,6400,1,14.96,0.16,5,632,0,1
22,0,1,92689,0,3,7500,2,13.24,0.08,4,592,0,1
26,1,3,53721,2,0,10000,1,5.42,0.19,4,582,0,1
23,1,0,73145,0,0,15000,3,7.99,0.21,4,606,1,0
23,1,1,73135,2,3,20000,1,7.9,0.27,3,671,0,1
30,0,0,56277,5,0,12000,1,11.01,0.21,9,646,1,0
24,1,4,61552,3,3,1500,0,11.01,0.02,4,696,0,0
24,1,3,87440,1,3,4800,2,7.14,0.05,2,557,1,0
34,0,3,79392,10,0,12300,0,11.01,0.15,10,712,0,0
26,0,3,89108,4,3,12000,5,13.53,0.13,4,587,0,1
23,1,3,43905,1,3,13000,0,11.84,0.3,4,620,0,1
23,1,3,100285,2,0,1500,1,11.12,0.01,2,543,1,0
33,1,3,735661,10,3,5950,3,12.73,0.01,10,643,0,0
32,1,1,42374,8,3,1908,3,12.76,0.05,7,665,0,0
30,0,3,46131,6,3,19750,0,10.48,0.43,10,627,0,1
33,1,1,116613,10,0,15000,0,14.62,0.13,10,681,0,1
21,1,0,12231,0,3,1750,1,8.94,0.14,2,707,0,1
26,0,1,72831,8,0,7200,4,13.49,0.1,2,554,1,0
24,1,3,45445,0,3,8000,4,8.9,0.18,4,660,0,1
31,1,1,73693,8,3,8650,4,8.49,0.12,8,689,0,0
23,1,3,138057,0,0,8000,1,12.68,0.06,4,647,0,0
26,1,4,61110,2,0,9000,4,6.97,0.15,3,690,1,0
22,1,4,53797,0,3,15000,1,15.87,0.28,2,657,0,1
22,0,3,71870,2,0,4900,2,15.62,0.07,4,631,0,1
28,1,0,61315,8,3,8000,3,14.27,0.13,9,650,1,0
37,0,3,71970,15,0,15000,0,17.99,0.21,12,649,0,1
37,1,0,73246,14,3,15000,0,12.42,0.2,15,687,1,0
24,0,0,16873,3,3,4000,1,5.79,0.24,3,640,0,1
23,0,4,24572,0,3,12000,5,6.28,0.49,4,587,0,1
22,0,1,85273,0,3,3000,4,7.29,0.04,4,648,0,0
35,0,0,44215,13,3,5600,5,13.06,0.13,7,688,1,0
34,1,1,87311,8,0,4000,2,7.14,0.05,9,639,1,0
25,1,1,29971,4,3,5000,1,6.92,0.17,4,654,1,0
30,1,1,136793,6,0,30000,0,15.62,0.22,8,643,0,1
25,1,3,153308,0,0,5000,0,12.73,0.03,2,642,0,1
25,0,0,25725,3,3,7467,0,7.9,0.29,4,649,0,1
29,0,4,57412,8,3,16000,3,11.71,0.28,8,588,0,1
32,0,3,48979,11,0,16000,5,11.0,0.33,9,698,1,0
36,1,3,38202,15,3,10000,1,6.91,0.26,15,605,0,1
26,0,3,64459,4,3,18000,5,17.19,0.28,3,661,0,1
29,0,1,58358,4,3,2000,0,8.47,0.03,7,643,1,0
48,0,3,72884,24,0,8000,3,10.37,0.11,17,714,0,0
28,1,3,36661,4,3,8875,1,7.12,0.24,7,635,1,0
25,0,1,36794,4,3,12000,0,6.07,0.33,4,647,0,1
32,0,4,59434,13,0,8275,0,11.01,0.14,6,607,1,0
40,1,3,42268,17,3,5400,4,12.61,0.13,13,697,0,1
26,1,3,27399,4,3,1750,3,11.01,0.06,3,664,0,0
27,0,3,66164,5,0,3000,3,11.01,0.05,5,528,0,1
27,0,0,35752,6,3,7085,0,7.07,0.2,8,674,0,0
29,0,3,57699,7,3,5100,0,11.86,0.09,7,634,1,0
32,0,0,88489,10,0,9600,4,7.9,0.11,7,563,1,0
25,1,0,79334,2,3,4000,4,6.62,0.05,2,607,1,0
35,1,1,164253,15,0,15000,1,7.88,0.09,6,639,1,0
23,0,3,108999,0,0,15000,4,6.03,0.14,3,638,0,0
45,1,3,46026,19,0,5000,0,11.49,0.11,16,672,1,0
23,1,0,34728,1,0,8400,5,10.99,0.24,2,661,0,0
23,1,3,87525,1,0,8657,1,6.57,0.1,4,558,0,0
36,1,0,34582,14,3,8000,0,7.59,0.23,9,565,1,0
25,0,1,54845,3,3,3000,3,6.18,0.05,4,571,1,0
22,1,1,62350,1,3,20000,1,13.47,0.32,2,677,0,1
29,0,1,16687,2,3,7109,5,8.78,0.43,7,587,0,1
22,1,1,37114,0,3,11100,4,6.62,0.3,4,689,0,1
26,1,3,61280,4,2,12000,3,8.49,0.2,4,654,1,0
25,1,4,29739,0,3,12000,0,12.17,0.4,4,681,0,1
24,0,3,40673,1,3,6000,0,14.13,0.15,4,614,0,1
26,0,1,61151,5,3,6000,4,11.01,0.1,3,578,0,0
49,1,0,86105,28,0,15000,0,14.84,0.17,11,705,0,1
27,0,1,65599,5,3,3200,5,9.88,0.05,7,639,1,0
27,0,0,39163,7,3,3212,0,9.92,0.08,3,662,0,1
34,0,0,35215,13,3,9175,1,12.69,0.26,5,656,0,1
22,1,3,51178,2,3,6714,3,16.55,0.13,3,657,0,1
24,0,1,63488,6,0,5000,1,15.28,0.08,4,581,0,1
28,0,4,76443,4,0,11200,0,14.42,0.15,7,672,0,1
27,0,3,68414,3,0,8400,1,9.59,0.12,8,618,0,1
29,1,0,71745,7,3,12000,0,16.49,0.17,9,699,0,1
23,1,3,66832,1,0,7000,5,13.23,0.1,2,652,1,0
39,0,3,23169,16,3,1200,0,14.74,0.05,11,667,0,1
25,0,0,110050,2,3,14000,3,12.23,0.13,2,683,1,0
21,0,1,120998,0,3,7800,0,7.88,0.06,2,642,1,0
23,1,3,59787,0,0,5000,3,15.21,0.08,2,628,0,1
22,1,1,37217,2,3,12000,1,10.23,0.32,3,649,0,1
39,0,3,197813,16,0,35000,5,13.99,0.18,14,647,1,0
22,1,3,129274,0,3,24053,2,18.04,0.19,4,594,0,1
25,1,1,26913,0,3,10000,3,9.84,0.37,4,506,0,1
32,0,1,15288,11,3,900,3,10.28,0.06,5,657,0,1
21,1,0,30739,0,3,5000,1,16.45,0.16,4,643,0,1
30,0,0,69340,10,3,25000,3,11.36,0.36,9,617,0,1
23,1,0,18164,0,3,4000,0,10.74,0.22,3,591,0,1
37,1,2,48857,16,3,1800,3,9.63,0.04,13,723,0,0
42,1,3,53885,21,3,8400,1,13.57,0.16,13,628,0,1
23,0,4,60235,4,3,20000,1,6.54,0.33,4,615,0,1
31,1,1,64468,9,3,3500,0,10.53,0.05,12,686,1,0
22,1,3,19246,0,3,7000,1,8.94,0.36,4,659,0,1
23,0,1,67107,0,0,4000,0,5.42,0.06,3,516,1,0
28,1,1,45631,7,0,5500,4,5.42,0.12,5,579,1,0
34,1,3,49416,13,3,5000,5,12.53,0.1,10,564,1,0
23,1,1,36837,3,3,3500,3,11.49,0.1,2,594,0,1
22,1,3,15102,1,3,1000,4,13.57,0.07,3,559,0,1
24,0,1,84829,3,0,6000,4,7.1,0.07,2,609,1,0
39,0,0,143808,15,3,22000,0,11.49,0.15,12,693,0,0
23,1,1,51301,2,3,8500,1,11.43,0.17,4,710,0,0
30,0,0,108001,8,3,28869,0,7.97,0.27,7,602,0,1
31,1,0,73294,6,0,15000,1,11.38,0.2,7,698,1,0
35,1,3,91040,12,0,10000,1,7.29,0.11,9,564,1,0
24,0,1,74165,4,3,12000,5,11.01,0.16,3,697,1,0
27,1,1,22315,4,3,2500,4,14.74,0.11,8,664,0,1
23,0,3,118230,0,0,5575,3,6.54,0.05,3,569,1,0
33,0,3,19745,9,3,3000,3,7.51,0.15,5,638,0,1
23,1,4,8518,0,3,1935,5,13.39,0.23,5,637,0,1
21,1,3,133576,0,2,12000,4,11.01,0.09,3,573,1,0
29,0,1,102919,4,0,7500,5,11.49,0.07,10,620,0,0
23,1,3,19598,0,3,5500,4,11.05,0.28,3,629,0,1
35,1,0,113716,14,0,15000,5,9.88,0.13,10,589,1,0
25,1,0,156937,2,0,21000,5,13.16,0.13,3,542,1,0
21,0,1,55627,0,3,17475,0,9.91,0.31,2,628,0,1
23,1,3,25292,0,3,4000,4,12.23,0.16,2,421,1,0
25,1,1,65742,3,3,25000,2,16.82,0.38,4,672,0,1
26,0,1,53514,1,3,5000,2,8.67,0.09,4,630,1,0
24,0,3,83712,0,3,6000,0,15.85,0.07,4,544,0,1
28,1,1,22574,4,3,7820,5,9.73,0.35,10,599,0,1
33,1,1,130451,8,0,4952,0,12.48,0.04,12,586,0,1
22,1,3,80936,0,0,11000,3,17.99,0.14,2,646,0,1
21,0,4,55191,0,0,8000,0,15.31,0.14,3,524,0,1
30,0,0,39511,8,3,8400,2,13.98,0.21,9,668,0,1
38,0,2,18772,16,3,3000,1,9.82,0.16,13,719,0,1
28,1,4,50215,5,3,1500,0,14.79,0.03,6,675,0,0
23,1,0,90157,0,3,6350,4,12.92,0.07,3,681,0,1
22,1,0,52177,0,3,7070,3,15.77,0.14,4,586,0,1
24,1,0,80145,1,3,25000,1,9.91,0.31,2,636,0,1
37,0,3,60961,16,0,8400,5,6.03,0.14,11,590,1,0
31,1,3,78939,10,0,5000,2,6.03,0.06,9,670,1,0
22,0,0,43032,2,0,9000,3,9.09,0.21,4,620,1,0
41,1,0,65884,21,0,7679,3,13.63,0.12,12,564,0,1
24,1,0,80687,3,3,25000,1,12.75,0.31,5,564,0,1
29,0,0,24474,9,3,2000,0,5.99,0.08,6,544,0,1
23,0,1,59629,0,0,10525,1,13.61,0.18,2,635,1,0
24,1,1,286608,2,3,10000,5,13.67,0.03,2,664,0,1
23,1,3,39532,0,3,5000,4,9.91,0.13,3,673,0,1
22,1,0,108780,0,3,7000,4,8.88,0.06,3,593,1,0
23,0,4,58061,3,3,3500,5,12.69,0.06,3,614,1,0
22,0,4,39454,4,3,14000,3,12.23,0.35,3,580,0,1
29,1,3,78672,4,0,6500,5,10.24,0.08,7,567,1,0
22,1,3,157127,1,0,3000,4,13.49,0.02,2,580,1,0
31,1,4,68150,5,0,9703,1,6.28,0.14,7,632,1,0
28,1,1,21570,2,3,3344,0,13.01,0.15,6,574,0,1
24,1,0,117052,0,3,16013,5,6.61,0.14,3,651,1,0
26,0,0,42992,0,3,16000,1,6.03,0.37,4,670,0,1
26,1,1,64550,8,3,20000,4,16.35,0.31,4,649,0,1
32,1,0,34061,10,0,2000,2,12.99,0.06,9,640,0,1
22,1,1,127330,0,0,12800,3,11.83,0.1,2,547,1,0
26,1,1,89769,2,3,25000,0,11.57,0.28,4,577,0,1
25,1,4,97393,1,0,12000,5,5.99,0.12,2,614,1,0
44,0,0,100604,22,1,12000,1,16.0,0.12,15,725,0,1
32,1,1,48745,9,3,3000,0,15.23,0.06,7,678,0,1
30,1,3,44372,6,0,15000,0,11.83,0.34,10,590,1,0
26,0,1,75549,5,0,21650,4,12.69,0.29,4,622,1,0
25,0,0,73028,1,3,20000,1,11.01,0.27,2,654,0,1
31,0,0,74278,8,3,5100,0,11.49,0.07,8,553,1,0
34,0,3,53894,10,0,9003,5,15.18,0.17,7,650,0,1
27,1,0,163191,5,0,6079,1,6.92,0.04,4,647,0,0
34,1,1,37216,11,3,12000,3,10.38,0.32,5,519,0,1
24,0,1,56058,2,3,16984,0,10.49,0.3,3,604,0,1
24,0,0,55768,4,3,17000,4,10.38,0.3,3,636,0,1
23,0,0,57054,1,3,6800,1,10.65,0.12,4,678,0,1
24,0,4,81528,0,3,5000,1,11.01,0.06,4,627,0,0
28,1,4,100286,9,3,10000,1,11.64,0.1,10,624,0,0
24,1,1,44241,1,0,4781,5,11.39,0.11,3,644,1,0
27,1,1,117566,5,0,1500,0,10.95,0.01,10,638,1,0
22,1,0,28812,2,3,8000,3,8.59,0.28,2,650,0,1
25,1,0,31830,3,0,12000,1,13.47,0.38,2,626,0,1
