Age,Gender,Education,Income,Employment Experience,Home Ownership,Loan Amount,Loan Intent,Loan Interest Rate,Loan Percent Income,Credit History Length,Credit Score,Previous Loan Defaults,Loan_Status
27,1,3,87071,5,2,8000,1,11.09,0.09,9,706,1,0
22,1,0,39546,0,0,1700,1,7.9,0.04,4,483,1,0
36,1,0,33396,14,2,6000,2,7.14,0.18,15,677,0,0
36,1,3,47756,14,0,7000,5,5.79,0.15,17,675,1,0
25,0,3,90865,0,3,7000,3,7.49,0.08,2,606,0,0
30,1,1,43983,5,2,15000,0,11.83,0.34,6,624,1,0
33,1,3,53675,10,0,9275,1,7.29,0.17,7,678,0,0
23,1,0,59632,0,0,6000,5,7.88,0.1,4,674,1,0
22,0,4,87603,0,0,5000,3,6.54,0.06,2,592,1,0
27,1,0,100003,7,3,10800,3,9.76,0.11,8,688,1,0
22,1,1,51512,0,0,3000,4,6.03,0.06,3,632,1,0
24,1,1,87612,4,0,8000,0,12.21,0.09,4,687,1,0
29,1,1,60925,1,3,7000,0,11.01,0.11,6,583,1,0
21,1,0,22770,0,3,2500,1,7.88,0.11,2,576,1,0
24,0,1,35909,2,0,2500,0,6.76,0.07,2,636,1,0
28,0,0,94732,7,0,13000,1,11.01,0.14,9,632,0,0
25,0,4,61218,5,0,12500,0,10.65,0.2,4,643,1,0
41,1,3,169150,18,0,25000,5,13.8,0.15,12,530,1,0
22,0,1,42857,4,2,13200,5,13.48,0.31,3,704,1,0
22,1,3,39181,0,3,4000,5,5.42,0.1,4,494,1,0
23,0,3,103347,3,3,10200,0,11.01,0.1,3,617,1,0
22,1,3,83931,3,0,6000,5,13.48,0.07,2,656,1,0
28,1,1,132959,7,0,15000,5,16.32,0.11,5,593,1,0
22,1,4,66772,0,0,7500,1,10.59,0.11,3,688,1,0
31,1,3,65810,6,3,4800,3,12.99,0.07,10,596,1,0
30,0,3,89806,8,2,10500,3,10.74,0.12,8,634,1,0
23,0,1,68075,4,3,3500,0,11.01,0.05,3,615,1,0
41,0,1,90988,18,3,12000,1,7.7,0.13,14,668,0,0
41,1,3,45430,17,0,6000,5,12.99,0.13,11,663,0,0
33,0,1,117462,10,0,4000,0,11.01,0.03,10,631,0,0
27,0,0,38896,0,3,6000,1,11.09,0.15,6,670,0,0
39,0,3,58971,20,2,4800,5,13.98,0.08,13,716,1,0
27,0,3,32499,3,3,7052,3,8.84,0.22,7,628,1,0
29,0,3,47698,4,0,7100,3,8.32,0.15,5,558,1,0
38,0,0,107537,18,0,10000,1,11.01,0.09,13,684,1,0
32,1,3,55004,8,2,15000,1,7.51,0.27,5,672,0,0
25,1,1,50561,1,2,4400,3,7.29,0.09,2,646,1,0
25,0,3,52664,4,3,5000,3,7.41,0.09,3,580,0,0
25,0,1,115066,0,3,8000,4,15.23,0.07,4,576,1,0
24,1,4,217203,2,3,11200,4,5.79,0.05,4,605,1,0
25,0,0,35569,3,3,1600,3,6.62,0.04,2,581,1,0
31,0,4,73043,6,0,5100,0,10.75,0.07,8,567,1,0
30,0,3,34661,8,3,8000,4,10.99,0.23,8,649,0,0
33,1,1,60840,10,3,9000,2,7.51,0.15,9,607,1,0
28,1,3,68800,5,3,15000,0,12.61,0.22,10,573,1,0
25,0,3,198669,0,0,10000,5,9.18,0.05,4,590,0,0
47,1,3,102980,23,0,10000,2,8.07,0.1,15,610,1,0
46,0,3,66163,24,3,3600,4,10.0,0.05,14,693,0,0
22,0,1,51257,0,0,13000,1,11.01,0.25,4,644,0,0
30,1,1,60902,9,0,4000,0,14.27,0.07,9,665,0,0
30,0,4,73097,8,3,12000,4,11.43,0.16,9,687,0,0
35,0,1,26232,10,3,1484,3,11.09,0.06,11,629,0,0
29,1,2,90941,4,3,6400,5,7.49,0.07,8,651,1,0
23,1,1,25832,1,3,3146,3,13.21,0.12,3,685,1,0
28,1,3,115676,5,0,16000,1,14.5,0.14,7,573,1,0
29,0,1,156889,6,0,17500,5,8.94,0.11,9,601,1,0
26,1,0,102934,5,0,4000,1,9.12,0.04,3,686,1,0
23,0,3,46487,0,0,8000,1,12.69,0.17,3,634,1,0
34,1,1,48056,9,3,10000,4,15.7,0.21,7,667,0,0
22,1,3,41860,1,2,10000,5,14.96,0.24,3,644,0,0
22,1,0,51286,0,3,12800,5,15.21,0.25,2,664,0,1
28,0,3,142574,5,3,3099,3,13.39,0.02,6,595,0,1
24,1,3,65717,0,3,12500,5,14.5,0.19,4,613,0,1
23,1,1,65613,0,3,20375,4,7.49,0.31,2,518,0,1
27,0,1,50166,3,3,8000,0,12.84,0.16,10,558,0,1
23,1,1,23092,0,3,3000,4,13.06,0.13,2,553,0,1
22,1,4,43867,0,3,2406,2,11.27,0.05,3,699,0,1
23,1,0,43963,2,3,11000,5,13.11,0.25,3,675,0,1
25,1,4,22735,0,3,9988,2,12.07,0.44,3,687,0,1
30,1,1,59688,8,3,16000,0,13.87,0.27,7,626,0,1
25,1,0,44650,2,3,2500,2,11.2,0.06,3,690,0,1
24,0,3,29658,3,3,12000,4,10.36,0.4,4,648,0,1
32,1,3,28446,7,3,10000,4,11.97,0.35,11,593,0,1
26,0,1,76661,2,3,10000,5,16.4,0.13,2,669,0,1
22,1,0,34508,0,3,1000,2,10.98,0.03,3,660,0,1
31,0,0,87347,6,3,20946,1,12.06,0.24,7,549,0,1
21,1,4,44392,0,3,4500,5,17.27,0.1,2,548,0,1
28,0,0,80677,4,3,9080,3,15.59,0.11,8,660,0,1
28,0,1,59767,7,3,15000,3,13.67,0.25,5,492,0,1
24,0,0,63192,4,3,8000,1,13.99,0.13,2,626,0,1
24,1,3,30863,1,3,10000,5,11.36,0.32,2,645,0,1
22,0,4,40113,2,3,12000,3,11.49,0.3,2,691,0,1
25,1,3,20168,4,3,3200,0,9.32,0.16,2,620,0,1
24,1,0,22514,0,3,4000,0,12.34,0.18,4,488,0,1
26,1,1,31235,0,0,6250,3,15.31,0.2,4,665,0,1
34,1,1,41876,14,3,19594,0,12.03,0.47,8,707,0,1
50,0,0,35408,26,3,1500,4,10.39,0.04,15,704,0,1
23,1,1,43125,0,3,12000,0,10.0,0.28,4,667,0,1
29,0,4,51397,6,3,4585,1,9.4,0.09,6,680,0,1
26,1,1,36814,4,3,10625,5,9.13,0.29,4,635,0,1
26,0,0,34726,0,3,14500,4,12.53,0.42,3,598,0,1
25,0,3,72168,0,3,6834,1,13.43,0.09,2,631,0,1
26,1,3,37154,7,3,5000,1,12.4,0.13,3,696,0,1
30,1,1,66896,4,0,15000,0,15.61,0.22,10,669,0,1
39,1,4,77604,16,0,8750,0,11.01,0.11,13,619,0,1
22,1,0,37110,0,2,5000,1,19.47,0.13,3,578,0,1
42,1,0,22697,23,3,8000,5,6.91,0.35,17,655,0,1
29,0,0,45084,2,3,20000,3,13.17,0.44,7,689,0,1
22,0,0,59584,1,3,10418,0,9.15,0.17,2,593,0,1
28,0,3,12497,2,3,1561,5,11.81,0.12,7,635,0,1
23,0,0,41719,2,3,6000,0,14.09,0.14,4,562,0,1
27,0,4,60839,1,3,7153,3,14.68,0.12,8,595,0,1
34,0,1,69542,11,0,2600,2,5.99,0.04,7,638,0,1
22,0,4,45919,0,3,12000,1,10.62,0.26,2,661,0,1
28,1,1,73267,3,3,20000,4,10.99,0.27,10,550,0,1
24,1,3,130453,1,0,25000,0,13.99,0.19,2,658,0,1
24,0,1,84860,0,3,1500,4,14.42,0.02,4,572,0,1
27,0,1,144739,8,0,10000,2,12.61,0.07,6,572,0,1
29,1,2,53706,8,3,11829,0,14.44,0.22,8,598,0,1
22,1,3,42522,0,3,2000,0,16.89,0.05,4,679,0,1
25,1,3,44201,2,3,15000,4,11.01,0.34,4,618,0,1
21,1,1,15083,2,3,4000,3,10.65,0.27,4,505,0,1
24,1,0,96627,2,3,25000,4,15.7,0.26,2,622,0,1
28,0,3,71520,5,3,6500,2,16.35,0.09,7,633,0,1
41,0,0,52290,20,3,10000,5,15.62,0.19,12,691,0,1
25,0,4,72002,2,3,15000,0,11.53,0.21,4,623,0,1
37,1,3,89816,14,3,19200,2,12.87,0.21,12,617,0,1
29,0,1,21023,5,3,5000,4,6.92,0.24,7,629,0,1
24,1,1,103651,5,0,3131,0,12.08,0.03,3,646,0,1
28,0,4,81535,5,3,24000,0,7.49,0.29,10,639,0,1
40,0,4,88660,14,3,20000,3,14.54,0.23,11,700,0,1
38,1,0,46094,14,1,12000,1,13.47,0.26,16,618,0,1
47,0,1,22873,26,0,3000,4,5.42,0.13,12,678,0,1
32,0,4,68461,8,3,8999,3,14.45,0.13,6,683,0,1
30,0,0,36964,7,3,1000,3,11.01,0.03,10,630,0,1
22,0,4,31240,0,3,1000,0,15.95,0.03,2,682,0,1
22,0,4,34618,1,3,10000,1,5.42,0.29,3,548,0,1
27,1,1,37752,4,3,14000,4,7.88,0.37,5,616,0,1
47,1,0,53796,24,3,8000,4,11.01,0.15,15,662,0,1
35,1,1,49179,13,3,21000,5,19.41,0.43,10,671,0,1
26,1,1,56555,0,0,7000,0,9.99,0.12,4,679,0,1
32,1,0,30853,9,3,10753,4,12.51,0.35,7,685,0,1
21,0,4,65983,0,3,5125,0,5.99,0.08,4,582,0,1
27,1,1,94584,2,3,17200,0,17.49,0.18,7,686,0,1
28,0,2,22776,4,3,1000,4,13.49,0.04,8,679,0,1
33,1,1,95687,8,0,12750,3,15.95,0.13,10,709,0,1
21,0,3,35635,0,3,11000,4,14.22,0.31,4,590,0,1
22,1,4,52351,3,3,7500,5,14.96,0.14,3,606,0,1
24,1,3,78216,0,0,12000,0,17.56,0.15,4,614,0,1
26,1,0,41848,1,3,4200,4,16.82,0.1,3,440,0,1
22,0,0,36213,0,3,10500,1,9.99,0.29,3,581,0,1
22,1,0,41328,2,3,13250,0,11.01,0.32,4,676,0,1
31,1,1,41726,7,3,15000,5,9.31,0.36,7,557,0,1
24,1,0,106531,2,3,10000,0,14.84,0.09,2,610,0,1
26,0,0,24183,5,1,7500,4,11.97,0.31,2,621,0,1
25,0,1,31125,4,3,9250,5,10.75,0.3,3,671,0,1
33,0,4,96759,9,3,21600,1,18.64,0.22,10,640,0,1
25,1,0,53946,7,3,17500,1,12.53,0.32,4,601,0,1
22,1,1,100479,0,3,24000,0,19.69,0.24,3,590,0,1
33,0,0,88781,10,0,5000,0,16.29,0.06,9,685,0,1
23,1,0,58433,4,3,12000,1,16.01,0.21,4,640,0,1
24,0,3,47930,3,3,10000,0,14.11,0.21,3,626,0,1
22,1,4,130852,0,3,28000,1,11.01,0.21,4,683,0,1
24,0,0,64757,0,3,19600,3,16.07,0.3,3,680,0,1
26,0,3,85280,3,3,25000,1,12.72,0.29,4,619,0,1
27,1,4,101695,4,3,2500,5,14.59,0.02,9,721,0,1
24,1,0,61104,3,3,19322,1,12.4,0.32,3,638,0,1
22,0,1,23907,0,3,2500,2,14.22,0.1,2,563,0,1
42,0,0,33684,17,3,9000,3,11.11,0.27,16,701,0,1
23,1,4,56660,0,0,5000,3,7.49,0.09,3,608,0,1
